jno	jname	bno	jmoney	jpeople	jday	jtime	jwork	jgrade
17	인터컨티넨탈 호텔 그룹에서 '글로벌 서비스 인플루언서' 모집! 특별한 호텔 경험을 함께 만들어요! (다국어 사용자 우대)	100	15000	4	1	8	1	1
18	없는 게 없는 만물상! 다이소 매장 관리/진열 알바 모집!	69	13000	1	2	3	0	0
19	뭐 먹을지 고민 NO! 요기요 익스프레스 배달 파트너 구함! (지역 제한 있음)	79	15000	5	2	6	0	2
20	보기만 해도 행복! 크리스피크림도넛 매장 스태프 구함! (달콤함 보장)	31	11000	1	3	5	1	0
21	아웃백스테이크하우스 '부메랑 친구' 모집! 홀/주방 보조 알바! 맛있는 스테이크!	122	12000	2	5	8	1	2
22	맥도날드에서 매일매일 맛있는 음식을 제공할 직원을 모집합니다!	24	14000	1	2	4	0	2
23	매일매일 새로운 경험이 가득한 CU에서 당신을 기다리고 있습니다!	11	15000	4	1	3	1	2
24	신선함 새벽 배송! 마켓컬리 물류센터/배송 알바 구해요! (새벽/오전)	77	11000	3	1	3	1	1
25	CJ대한통운 '택배 박스 여행가' 알바 구함! 허브터미널 분류 작업! (초단기 가능)	86	11000	6	4	5	0	1
26	나이키 '운동화/의류 덕후' 매장 스태프 모집! (힙한 운동화 신으면서 일하자!)	10	11000	2	4	5	0	0
27	가성비 끝판왕 빽다방 스태프 급구! 오후/마감 시간 우대!	15	14000	4	1	8	0	0
28	아트박스에서 창의적이고 재미있는 아이템을 판매할 직원을 모집합니다!	70	13000	5	1	4	1	1
29	운동과 스타일을 동시에! 나이키에서 함께 성장할 직원을 모집합니다.	10	13000	2	1	7	0	2
30	AK플라자에서 다양한 고객을 맞이할 직원을 찾습니다!	50	13000	3	3	4	1	0
31	알바 구함! 파리바게뜨에서 행복을 만들어요! (제조/판매)	16	13000	6	2	5	0	2
32	닥스 '영국 감성' 모집! 의류/잡화 판매 알바! 고급스럽고 세련된 곳!	139	14000	5	5	8	1	1
33	매장 직원 구함! AK플라자에서 다양한 업무!	50	13000	1	4	4	1	0
34	CGV에서 '영화관 크루' 되어 극장 마법 만들기! (주/야간/주말 선택!)	1	15000	1	4	4	1	1
35	알바 모집! KFC에서 갓 튀긴 치킨과 함께!	26	14000	6	2	3	0	1
36	메리어트 인터내셔널 '호텔 네트워크 구축가' 구인! 다양한 브랜드 지원!	140	14000	3	2	4	1	0
37	대용량의 세계! 코스트코 주말 시식/판매 알바 구함! (초보 환영)	23	13000	2	4	6	1	2
38	K2 '알파인 마스터' 구인! 아웃도어 의류/용품 판매! 등산/캠핑 지식 활용!	104	14000	6	5	6	1	1
39	국수나무에서 따뜻한 국수를 사랑하는 직원을 모집합니다!	117	12000	3	3	6	1	1
40	모던하우스에서 멋진 인테리어와 함께할 직원을 찾습니다!	125	13000	4	2	4	0	2
41	스태프 구함! 뚜레쥬르에서 갓 구운 빵 맛보기!	41	12000	3	5	7	0	1
42	필기구 덕후들 주목! 핫트랙스 문구/음반 판매 알바 모집!	71	13000	2	1	8	0	1
43	역전우동0410에서 진한 국물의 우동을 함께 만들어갈 직원을 모집합니다!	111	15000	4	1	6	0	0
44	이마트 '넓은 매장 탐험가' 파트타이머 구함! (다양한 상품 구경!)	20	14000	3	4	5	0	1
45	커피빈 '퍼플 감성 바리스타' 구인! 커피 제조/매장 관리! 시크하고 고급스러운 분위기!	149	14000	5	2	7	0	2
46	래디슨 '글로벌 게스트 파트너' 구인! 프론트 데스크 지원! 외국어 배우는 재미!	99	12000	3	2	8	0	1
47	힐튼 월드와이드 '글로벌 호텔리어' 모집! 전 세계 호텔 경험 기반!	141	11000	2	1	8	1	0
48	영화 좋아하시는 분들! CGV 미소지기 팀원 모집합니다! (직원 영화 관람 가능!)	1	15000	6	4	7	0	0
49	버거킹에서 최고의 햄버거를 만들 직원을 모집합니다!	25	15000	2	1	3	0	0
50	투썸플레이스에서 달콤함을 전파할 '디저트 & 커피 전문가' 구해요! (다양한 메뉴 배우기)	13	12000	5	3	6	1	2
51	스태프 구해요! 메가커피에서 활기차게!	39	15000	6	1	7	1	0
52	신선함이 가득! 이마트 파트타이머 구함! (다양한 파트)	20	15000	5	4	7	1	0
53	알바 모집! 롭스에서 다양한 제품 접하기!	59	15000	4	1	5	0	1
54	카카오프렌즈에서 귀여운 캐릭터와 함께 일할 직원을 찾습니다!	14	15000	5	5	3	0	0
55	빈폴 '클래식 캐주얼' 구인! 의류 판매/매장 관리 알바! 단정하고 깔끔한 스타일!	137	15000	5	5	5	0	0
56	핑크빛 세상! 에뛰드하우스 뷰티 제품 판매 알바 모집!	63	14000	1	4	3	1	0
57	빕스에서 프리미엄 스테이크를 제공할 직원을 모집합니다!	121	14000	6	4	4	1	1
58	미니스톱에서 간편하고 즐거운 쇼핑을 함께할 직원을 찾습니다.	19	11000	5	2	7	0	2
59	에버랜드에서 당신의 열정과 즐거운 마음을 나눠주세요!	4	13000	1	3	7	0	1
60	롭스에서 건강과 뷰티를 책임질 직원을 모집합니다!	59	15000	6	5	3	1	0
61	빽다방에서 따뜻한 커피로 고객의 마음을 사로잡을 직원을 모집합니다!	15	14000	3	3	7	1	0
62	이니스프리에서 자연의 아름다움을 전할 직원을 찾습니다!	62	12000	3	1	6	0	1
63	폴바셋에서 프리미엄 커피와 디저트를 제공할 직원을 찾습니다.	36	14000	1	4	8	1	0
64	씨네큐브 '팝콘 장인' 스태프 구인! 매점/매표/영사 보조! 최신 영화 미리보기!	97	15000	3	2	8	1	1
65	아르떼뮤지엄에서 예술과 문화를 함께 나눌 직원을 모집합니다!	113	13000	2	2	4	1	2
66	뉴발란스 '라이프스타일 코치' 구인! 매장 관리/판매 알바! 편안한 분위기!	94	15000	2	2	4	0	2
67	여름은 여기서! 캐리비안 베이 '물놀이 안전 지킴이' 알바 모집! 시원하게 일하고 인생샷 남겨요!	45	13000	3	2	8	0	1
68	하얏트 호텔 '럭셔리 스테이 도우미' 모집! 객실 정비/린넨 관리 파트타이머! 시급 높음!	98	15000	2	2	5	0	2
69	SK주유소 '기름 만땅' 알바 구함! 주유/세차/매장 관리! 주야간 근무!	145	13000	1	3	6	0	0
70	맥도날드 '세계인의 버거 메이커' 크루 상시 모집! (빠르게 배우고 성장!)	24	11000	3	3	6	0	1
71	추억 가득 서울랜드! 캐스트 모집! 주말/방학 기간 우대! (다양한 역할)	42	13000	6	5	3	0	1
72	롯데시네마 '영화 상영 서포터즈' 모집! (스크린 뒤 숨은 일꾼!)	12	11000	4	4	6	0	1
73	동대문엽기떡볶이 '매운맛 마스터' 모집! 주방/홀 알바! 스트레스 풀리는 매콤함!	107	14000	3	5	6	1	2
74	GS25 '편의점 생존왕' 알바 구함! (다양한 업무 경험 가능!)	9	15000	4	2	7	1	2
75	스크린 뒤 숨은 주인공! 롯데시네마 드리미 모집! 영화 할인 혜택!	12	14000	1	1	7	1	0
76	책 속 보물을 찾아줄 구인! 독서 분위기 좋은 곳!	3	12000	4	2	6	1	1
77	알바 구함! 알라딘에서 숨은 명작 발견!	74	15000	4	5	4	1	1
78	우리 동네 친근함! CU 주말 오전/오후 알바 구함! (경력 무관)	11	11000	3	3	7	1	2
79	스태프 구해요! 랄라블라에서 편안하게!	60	15000	5	5	4	0	0
80	김밥천국에서 맛있는 김밥과 함께할 직원을 모집합니다!	118	11000	1	5	5	1	2
81	내셔널지오그래픽에서 '지구 이야기 전달자' 구인! 어패럴 매장에서 자연의 감동을 공유할 분을 찾아요!	103	11000	3	3	5	1	2
82	쇼핑 천국 롯데아울렛 매장 관리/판매 알바 구함! (다양한 브랜드)	46	14000	3	2	7	1	0
83	탐앤탐스에서 커피와 함께 성장할 인재를 모집합니다!	35	12000	2	2	8	0	1
84	세븐일레븐 '전국 어디든!' 알바 구해요! (집에서 가까운 곳 선택 가능!)	18	13000	4	3	6	1	2
85	아웃백스테이크하우스에서 스테이크와 함께 특별한 경험을 나눌 직원을 찾습니다!	122	15000	5	2	8	1	0
86	현대백화점에서 프리미엄 쇼핑 환경을 제공할 직원을 찾습니다.	47	14000	3	5	8	1	2
87	롯데리아 '햄버거 프렌즈' 모집! 주방/홀 알바! 젊은 분위기!	119	15000	4	1	4	0	1
88	옥션 '경매 구경꾼' 서포터 모집! 온라인 경매 관리 보조!	82	12000	1	1	8	1	2
89	CU에서 매일 새로운 도전을 함께할 직원을 모집합니다!	11	13000	1	3	6	0	2
90	역전우동0410 '우동 면장' 구인! 주방/홀 알바! 빠르고 활기찬 분위기!	111	12000	5	2	8	0	1
91	김밥천국 '24시간 분식 파트너' 찾아요! 조리/판매! 다양한 메뉴 배우기!	118	12000	5	2	6	1	2
92	현대오일뱅크에서 함께 성장하고 에너지를 나눌 직원을 찾습니다!	148	13000	4	2	3	1	1
93	알바 구해요! 세븐일레븐에서 간편하게 시작!	18	12000	3	4	7	0	1
94	배스킨라빈스에서 아이스크림을 사랑하는 직원을 모집합니다!	29	15000	3	4	4	1	0
95	롤러코스터처럼 신나는 하루를 함께할 팀원, 에버랜드에서 찾습니다!	4	14000	2	2	5	0	1
96	올리브영에서 뷰티 트렌드를 이끌 '스타일 멘토' 알바 구해요! (제품 지식 UP)	5	14000	5	3	7	1	2
97	알바 모집! 아리따움에서 화장품 전문가!	61	13000	4	5	8	0	0
98	배달 파트너 상시 모집! 쿠팡이츠로 효율적인 배달! 원하는 시간 선택 가능!	80	14000	5	1	7	0	1
99	영풍문고에서 책을 사랑하는 사람과 함께 일할 직원을 찾습니다!	72	14000	3	1	4	1	1
100	트렌드를 이끌다! 현대백화점 매장 직원/도우미 모집!	47	15000	1	1	6	0	2
101	서가앤쿡 '한상 푸짐' 알바 찾아요! 주방/홀! 양 많은 음식 좋아하면 딱!	142	11000	6	4	7	0	2
102	신라스테이 '도심 속 휴식' 구인! 프론트/객실 보조! 깔끔하고 모던한 호텔 알바!	134	11000	3	3	4	1	1
103	매일 맛있는 음식을 제공할 직원을 모집합니다! 맥도날드에서 함께하세요.	24	12000	4	4	7	0	2
104	맛집 탐방 배달! 배달의민족 라이더/배달 파트너 모집! 자유로운 시간 활용!	78	14000	6	1	6	0	0
105	코스트코에서 더 큰 가치를 제공할 직원을 찾습니다!	23	15000	1	4	5	0	0
106	닥스에서 클래식한 스타일을 선보일 직원을 찾습니다!	139	11000	2	4	8	1	0
107	구인! 폴바셋에서 최고급 커피 경험!	36	11000	2	3	4	0	0
108	빕스 '스테이크 하우스 크루' 찾아요! 홀/주방 보조 알바! 고급스러운 경험!	121	11000	4	4	4	1	0
109	이탈리안 감성! 파스쿠찌 바리스타/매장 관리 알바 구해요!	32	14000	4	1	7	0	1
110	우체국 '동네 소식통' 알바 모집! 우편물 분류/배달 보조!	90	13000	1	2	3	1	1
111	피부 건강 전문가! 스킨푸드 뷰티 제품 판매 알바 모집!	67	13000	4	3	4	0	0
112	국내 SPA 대표! 에잇세컨즈 매장 관리/판매 알바 구함!	58	13000	4	3	8	1	2
113	롯데택배 '안전벨트 마스터' 상하차 알바 구인! 밤샘 근무 가능!	87	13000	3	3	7	0	0
114	즐거운 놀이공원에서 일하고 싶은 사람, 에버랜드가 기다립니다!	4	14000	1	4	7	1	2
115	신라스테이에서 편안한 휴식을 제공할 직원을 찾습니다!	134	13000	1	2	7	1	0
116	알바 구해요! 자라에서 최신 유행 스타일!	56	15000	4	5	6	0	0
117	CJ대한통운 '택배 히어로' 상시 모집! 분류/상하차 알바! 원하는 시간 선택 가능!	86	14000	2	1	4	1	0
118	S-OIL '좋은 기름' 찾아요! 주유/세차/매장 알바! 친절함 필수!	147	14000	1	5	7	0	0
119	캐스트 모집! 짜릿한 어트랙트 운영/안내!	8	13000	3	2	7	0	2
120	매장 스태프 구함! 크리스피크림에서 달콤함 충전!	31	14000	3	4	4	1	2
121	뚜레쥬르에서 빵을 사랑하는 사람을 찾습니다!	41	12000	2	4	8	0	2
122	토니모리에서 톡톡 튀는 아이디어로 고객을 맞이할 직원을 모집합니다!	66	13000	4	2	3	0	1
123	구해요! 신세계백화점에서 품격 있는 경험!	48	12000	4	2	4	0	1
124	디스커버리 익스페디션 '세상 밖으로!' 스태프 구인! 매장 판매/관리! 여행 좋아하는 사람 환영!	102	13000	5	5	4	0	2
125	혜자커피와 함께할 파트너! 이디야 밝은 에너지 스태프 구함!	7	15000	6	2	5	0	2
126	노스페이스에서 '극한의 스타일리스트' 구인! 최고의 아웃도어 기어를 소개할 분을 찾습니다! (활동적인 라이프 환영)	101	14000	6	5	3	0	0
127	S-OIL에서 믿을 수 있는 에너지를 제공할 직원을 모집합니다!	147	14000	2	1	8	0	0
128	닥스 '체크무늬 매니아' 모집! 의류/잡화 판매! 고급스러운 분위기!	139	12000	3	3	3	0	0
129	카페베네 '넓고 편안한' 찾아요! 바리스타/매장 관리 알바! 공부하기 좋은 카페! 	150	11000	1	1	8	1	0
130	롯데리아에서 맛있는 버거와 함께 즐거운 시간을 보낼 직원을 찾습니다!	119	15000	4	4	8	0	2
131	24시간 언제나 함께하는 GS25! 활기찬 직원을 모집합니다.	9	15000	3	2	6	1	1
132	한화호텔앤드리조트에서 고급스러운 서비스를 제공할 직원을 찾습니다!	132	12000	6	4	4	0	2
133	알바 구함! 토니모리에서 힙하게!	66	15000	5	2	8	0	1
134	혼밥 환영! 미니스톱 평일 오후 알바 모집! (칼퇴 보장)	19	15000	6	3	5	0	0
135	알바 모집! 아티제에서 예쁜 디저트와 함께!	40	15000	1	3	8	1	2
136	롯데마트에서 고객과 함께하는 시간을 보낼 직원을 모집합니다.	22	15000	3	4	3	1	0
137	노스페이스 '아웃도어 탐험가' 모집! 의류/용품 판매 알바! 자연을 사랑하는 사람 환영!	101	15000	5	1	3	1	0
138	K2에서 '정상 정복 도우미' 모집! 고객에게 최적의 아웃도어 장비를 추천할 매장 알바!	104	14000	1	2	5	1	2
139	쿠우쿠우 '초밥/뷔페 왕' 모집! 홀/주방 보조! 다양한 음식 경험!	123	14000	4	3	3	0	2
140	없는 게 없다! AK플라자 매장 관리/지원 알바 구함!	50	11000	5	3	8	0	2
141	숲속 카페 감성! 엔제리너스 밝은 미소 스태프 모집!	33	13000	5	1	4	0	0
142	핫트랙스에서 음악과 함께하는 일, 즐거운 경험을 쌓을 직원을 모집합니다!	71	15000	2	1	6	0	0
143	KT&G 상상마당 '문화 게릴라' 구인! 공연/전시/강좌 스태프! 다양한 경험 쌓기!	143	14000	3	4	5	1	0
144	롯데호텔에서 고급스러운 서비스로 고객을 맞이할 직원을 모집합니다!	129	12000	2	3	5	0	1
145	아이더에서 '프랑스 감성 아웃도어' 스태프 구인! 스타일리시한 아웃도어 패션을 제안할 분을 찾습니다!	105	14000	2	5	6	1	0
146	놀이공원에서 신나게 일하고 싶다면, 롯데월드에서 기다리고 있습니다!	8	15000	3	3	8	0	2
147	GS Postbox '편의점 택배 도우미' 구인! 가까운 곳에서 쏠쏠하게!	91	13000	1	3	6	0	1
148	가성비 최고 뷰티템! 미샤 주말/평일 스태프 구해요!	68	15000	5	3	3	1	2
149	반스 '보드 감성 크루' 구인! 신발/의류 판매 알바! 자유로운 분위기!	126	13000	5	3	4	1	2
150	크루 모집! 나이키 매장에서 열정을 불태울 사람!	10	15000	4	2	4	1	1
151	알바 구해요! 더페이스샵에서 건강한 아름다움!	64	13000	3	3	5	0	0
152	파리바게뜨에서 신선하고 맛있는 빵을 만들 직원을 찾습니다!	16	11000	5	5	6	1	2
153	대명소노그룹에서 멋진 여행과 서비스로 고객을 맞이할 직원을 모집합니다!	133	13000	1	1	5	1	1
154	롯데월드 '짜릿함 가득! 놀이기구 전문가' 캐스트 모집! (손님들에게 즐거움 선사!)	8	11000	4	5	3	1	0
155	맛있는 빵과 함께 행복을 나눌 직원을 파리바게뜨에서 찾습니다!	16	14000	2	5	5	1	1
156	아이더 '젊은 아웃도어' 스태프 찾아요! 매장 관리/판매! 스타일리시한 옷 속에서!	105	15000	2	1	6	1	0
157	알바 모집! 다이소에서 보물 찾기!	69	14000	3	1	8	1	0
158	고객에게 맛있는 빵과 서비스를 제공할 직원을 모집합니다! 파리바게뜨에서 함께하세요.	16	12000	6	4	5	0	1
159	뮤지엄다 '빛과 소리 전문가' 구인! 미디어 전시 관리 보조! 특별한 예술 경험!	114	15000	2	2	8	1	0
160	더페이스샵에서 건강한 뷰티를 전달할 직원을 모집합니다!	64	11000	5	3	8	1	0
161	이디야에서 따뜻한 위로를 전할 '햇살 스태프' 구함! (친절함이 무기!)	7	15000	3	3	8	1	1
162	현대오일뱅크 '주유소 인싸' 모집! 주유/세차/매장 알바! 밝은 에너지 필수!	148	11000	5	1	6	0	2
163	파리바게뜨 '갓 구운 행복' 제조/판매 알바 구함! (빵 기술 배워볼 기회!)	16	11000	5	3	5	0	0
164	캘리포니아 감성! 네이처리퍼블릭 매장 관리/판매 알바 모집!	65	14000	2	4	8	0	1
165	따뜻한 커피와 함께하는 시간을 만들어갈 직원을 모집합니다! 이디야에서 함께하세요.	7	12000	5	2	6	1	2
166	이디야에서 커피 한 잔으로 특별한 하루를 만들어갈 직원을 모집합니다.	7	13000	4	5	8	1	1
167	서울랜드에서 놀이공원에서 일하며 즐거운 경험을 만들 직원을 모집합니다.	42	15000	5	4	6	0	0
168	아크앤북 '책과 일상의 만남' 찾아요! 서점/카페 운영 지원! 감성적인 공간!	144	14000	2	2	5	1	0
169	시원함이 최고! 오션월드 라이프가드 및 시설 관리 알바 모집! 여름 알바 추천!	44	15000	2	5	5	0	1
170	켄싱턴호텔앤드리조트 '휴가 계획 도우미' 구인! 프론트/시설 관리! 리조트에서 일해요!	131	12000	1	4	3	1	0
171	스태프 급구! 빽다방에서 빠르게 경험 쌓기!	15	13000	3	1	6	1	1
172	착붙템 찾기 장인! 랄라블라 주말/평일 스태프 구해요!	60	12000	5	4	7	1	2
173	스태프 구함! 이디야에서 따뜻한 에너지 나눠요!	7	12000	4	4	3	0	2
174	파트타이머 구함! 할리스에서 여유로운 알바!	34	13000	4	5	8	1	1
175	없는 거 빼고 다 있다! 롭스 뷰티/헬스 제품 판매 알바 모집!	59	12000	3	3	7	1	2
176	홈플러스 '우리 동네 마트 지킴이' 알바 구해요! (주말/오후 시간 환영!)	21	15000	4	4	6	0	1
177	온라인 쇼핑은 여기서! 예스24 물류/포장 알바 모집!	75	14000	2	2	7	1	2
178	내셔널지오그래픽 '자연 사랑 크루' 찾아요! 의류/잡화 판매 알바! 지구를 생각하는 브랜드!	103	14000	4	3	4	0	2
179	힐튼 월드와이드 '세계적인 환대 전문가' 찾아요! 글로벌 체인 경험!	141	13000	5	4	6	1	0
180	롯데월드에서 짜릿한 즐거움을 더할 '어트랙션 마스터' 상시 모집! (안전 교육 필수)	8	14000	2	3	8	1	1
181	영화와 함께하는 즐거운 일을 찾고 있다면, CGV에서 일할 기회를 잡아보세요!	1	14000	4	3	3	1	1
182	푸마 '점프캣 크루' 찾아요! 의류/신발 판매! 편안한 트레이닝복 최고!	95	15000	5	4	6	0	1
183	영화 속 주인공이 될 준비 되셨나요? CGV에서 함께할 직원을 모집합니다!	1	11000	6	4	8	0	0
184	나만의 서재 만들기! 반디앤루니스 도서 판매 알바 모집!	73	11000	6	5	5	1	1
185	뉴발란스 '힙스터 워커' 구인! 매장 관리/판매! 990/574 전문가 우대!	94	12000	1	3	4	0	0
186	샐러디 '건강 한끼 전문가' 찾아요! 샐러드 제조/판매 알바! 신선함 가득!	115	14000	4	5	8	0	2
187	교보문고에서 새로운 책을 소개할 '북스토리텔러' 모집! (평일/시간 선택 가능)	3	15000	4	5	8	1	2
188	호텔신라 '최고급 서비스 전문가' 구인! 객실/식음 서비스 파트타이머! 특별한 경험!	128	11000	2	2	6	0	1
189	롯데아울렛에서 쇼핑과 고객 서비스를 제공할 직원을 모집합니다.	46	11000	1	4	3	0	0
190	롯데시네마에서 영화의 시작과 끝을 함께할 '무비 메이트' 모집! (영화 할인 듬뿍)	12	11000	2	2	7	1	1
191	캐리비안베이에서 워터파크를 함께 운영할 직원을 모집합니다.	45	14000	4	5	4	1	1
192	조선호텔앤리조트에서 럭셔리한 경험을 선사할 직원을 찾습니다!	130	13000	6	3	5	0	2
193	이마트에서 다양한 고객을 맞이할 직원을 모집합니다!	20	13000	1	5	4	1	1
194	신세계백화점에서 고급스러운 쇼핑 환경을 제공할 인재를 모집합니다.	48	13000	6	3	4	1	2
195	에뛰드하우스에서 화장품과 함께 행복을 나눌 직원을 모집합니다!	63	13000	5	3	7	0	1
196	블랙야크에서 '도전 정신 파트너' 모집! 극한의 순간을 함께할 장비 전문가를 찾습니다!	106	14000	1	4	7	0	2
197	위메프에서 특가 상품 발굴할 '딜 헌터' 모집! 온라인MD 직무 체험!	84	13000	5	1	6	1	1
198	스타벅스에서 나만의 특별한 레시피를 만들 '커피 크리에이터' 구함! (오전/오후 근무)	2	15000	6	3	8	0	1
199	KT&G 상상마당 '문화 예술 서포터' 구인! 공연/전시/강좌 운영 지원! 홍대/춘천/대치!	143	14000	6	4	7	1	1
200	동대문엽기떡볶이 '매운맛 중독자' 알바 구함! 주방 보조/홀 서빙! 엽떡 먹으면서 일해요!	107	14000	6	4	4	1	1
201	한국민속촌에서 전통을 배우고 전하는 직원을 찾습니다.	43	13000	1	1	3	1	2
202	SK주유소에서 친절하고 활기찬 직원을 모집합니다!	145	14000	4	1	6	0	2
203	미니스톱에서 간편하고 즐거운 쇼핑을 함께 할 직원을 찾습니다!	19	12000	4	5	5	0	1
204	귀엽고 특별한 카카오프렌즈와 함께 일할 사람을 찾습니다!	14	13000	6	4	7	0	0
205	롯데시네마에서 영화의 매력을 함께 나눌 직원을 찾습니다!	12	12000	6	3	7	0	1
206	조선호텔앤리조트 '프리미엄 스테이' 모집! 객실/식음 서비스! 품격 있는 경험!	130	13000	2	3	7	1	1
207	뮤지엄다 '미디어아트 서포터' 구인! 전시 해설/관람객 안내! 예술과 함께하는 시간!	114	15000	3	3	5	1	0
208	알바 구함! 탑텐에서 편안하게 일하세요!	54	14000	6	2	7	0	0
209	한솥도시락에서 '갓성비 도시락 셰프' 구함! 든든한 한 끼를 책임질 조리/판매 알바를 찾습니다!	112	14000	5	1	4	1	0
210	라이더/배달 파트너 모집! 배민에서 자유롭게! 자유로운 시간 활용!	78	12000	1	4	7	1	2
211	이마트24에서 유쾌한 직장 생활을 함께 할 직원을 모집합니다!	17	11000	1	3	3	0	1
212	롯데호텔 '월드클래스 파트너' 모집! 프론트/객실 보조! 국제적인 분위기!	129	15000	6	1	4	0	2
213	트렌디한 옷! 자라 판매/재고 관리 알바 구해요! (패션 감각)	56	15000	1	3	5	1	1
214	알바 구해요! 올리브영에서 예쁨 충전! (제품 할인 혜택)	5	12000	1	5	6	1	2
215	롯데월드에서 신나는 하루를 함께할 팀원을 찾습니다!	8	15000	3	5	3	0	2
216	맛있는 커피로 하루를 시작하고 싶은 당신을 투썸플레이스에서 기다립니다!	13	15000	6	4	3	1	0
217	샐러디 '초록색 마법사' 알바 찾아요! 샐러드/샌드위치 제조! 건강한 알바!	115	15000	6	2	5	0	2
218	블랙야크 '도전하는 야크' 알바 모집! 용품 판매/매장 관리! 활동적인 분위기!	106	15000	6	5	5	1	0
219	대용량 커피 맛집! 컴포즈커피 파트타이머 모집! (빠른 손 환영)	38	15000	5	3	7	0	2
220	커피에 관심 많은 분들 스타벅스 파트너 모집합니다! 성장 지원 최고!	2	14000	3	3	6	1	1
221	캐스트 모집! 서울랜드에서 신나는 경험!	42	14000	6	2	8	0	1
222	대림미술관 '예술 작품 지킴이' 구인! 전시 안내/관람객 관리! 문화생활 만끽!	136	11000	4	5	6	0	1
223	알바 모집! 롯데마트에서 물류/판매 지원!	22	13000	1	4	7	0	0
224	저렴하지만 맛있다! 메가커피 친절한 스태프 구해요!	39	15000	1	2	7	0	0
225	아리따움에서 뷰티 전문가로 성장할 직원을 모집합니다!	61	14000	4	3	8	0	2
226	새 신발 냄새 좋아하면! ABC마트 판매/재고 관리 알바 구해요!	52	12000	1	2	3	1	1
227	스킨푸드에서 피부와 건강을 위한 특별한 서비스를 제공할 직원을 찾습니다!	67	14000	6	5	6	1	0
228	설빙 '코리안 디저트 전문가' 구인! 빙수 제조/판매 알바! 시원하고 달콤하게!	120	15000	1	4	6	1	0
229	모집! 관객에게 최고의 경험 선사!	12	13000	1	4	4	0	2
230	싸이버거에 진심인 편! 맘스터치 크루 구함! 평일 점심/저녁 피크타임 우대!	27	15000	3	4	3	1	1
231	커피로 고객의 마음을 사로잡을 바리스타, 빽다방에서 모집합니다!	15	13000	3	5	3	0	2
232	롤링파스타 '가성비 미슐랭' 스태프 모집! 주방/홀! 저렴하지만 맛있는 곳!	110	15000	6	5	8	1	2
233	롤링파스타 '가성비 파스타' 모집! 주방/홀 알바! 파스타 맛집 알바!	110	13000	3	2	7	0	0
234	뷰티 인싸 여기 모여라! 올리브영 주말 알바 구함! 신상템 먼저 보기!	5	11000	2	5	7	0	1
235	대명소노그룹 '레저 전문가' 모집! 리조트 시설/안내! 즐거운 분위기!	133	13000	4	5	8	1	2
236	설빙 '인절미 빙수 전문가' 구인! 빙수/디저트 제조! 시원하고 달콤하게!	120	11000	5	1	5	1	2
237	미니스톱 '혼밥 & 맛집' 알바 구함! (맛있는 즉석식품 만지기!)	19	14000	3	1	8	1	0
238	아디다스 '세줄 간지' 스태프 모집! 판매/매장 관리! 운동복/신발 할인!	93	15000	6	2	7	1	0
239	모집! 스파오에서 나만의 스타일 완성!	53	14000	4	2	6	1	2
240	쥬씨에서 상큼한 음료와 함께할 직원을 찾습니다!	109	12000	4	4	4	0	2
241	역전우동0410에서 '역전 빠른 손' 알바 모집! 후루룩 맛있는 우동/덮밥 만들기 함께해요! (바쁜 시간 우대)	111	15000	2	4	3	0	0
242	힙스터 필수템! H&M 의류 판매 알바 모집!	57	11000	5	3	5	1	1
243	매장 알바 모집! 귀여움 속에서 행복하게 일하세요!	14	15000	2	2	3	1	1
