ano	aname	adetail
24	중고나라 앱으로 중고 거래의 새로운 패러다임!	안 쓰는 물건 팔고, 필요한 건 싸게 사고! 중고나라 앱으로 안전하고 편리하게 거래 시작! 잠자는 물건에 새 생명을 불어넣어 주세요.
25	11번가 앱으로 쇼핑하고 쿠폰 혜택 받기!	11번가 앱 켜면 매일 쿠폰 와르르! 스마트하게 쇼핑 끝! 다양한 할인 혜택으로 알뜰 쇼핑을 즐겨보세요.
26	픽사로 애니메이션의 매력에 빠져보세요!	어른이도 설레는 애니메이션! 픽사 영화 보면서 동심으로 돌아가 봐! 따뜻하고 감동적인 이야기가 당신을 기다려요.
27	다이슨 무선 청소기, 뛰어난 성능으로 집안을 깔끔하게!	청소는 장비빨! 다이슨 무선 청소기로 구석구석 깔끔하게! 집안일이 쉬워져요. 강력한 성능으로 깨끗한 집을 유지하세요.
28	미니PC로 업무 효율성 높이기, LG 울트라PC!	작다고 무시하지 마! LG 울트라PC 미니로 언제 어디서든 작업 가능! 업무 효율 UP! 가볍고 휴대하기 편리한 미니PC로 생산성을 높여보세요.
29	카메라 앱으로 인생샷 찍기!	보정? 필터? 필요 없어! 스마트폰 기본 카메라 앱으로 찍어도 인생샷 완성! 지금 바로 찍어봐! 멋진 사진을 손쉽게 남길 수 있어요.
30	루시드 드라이브, 스틱형 게임기로 게임의 즐거움을!	손안의 오락실! 루시드 드라이브 스틱 게임기로 언제 어디서든 추억 소환! 게임 삼매경! 옛날 게임 감성을 그대로 느껴봐요.
31	웨이브 앱으로 실시간 드라마와 영화 감상하기!	드라마/영화 기다리기 힘들어? 웨이브 앱으로 실시간 시청! 보고 싶은 거 바로 보자! 최신 콘텐츠를 웨이브에서 바로 감상하세요.
32	타임스퀘어 앱으로 가장 최신 쇼핑 혜택 잡기!	영등포 타임스퀘어 갈 사람? 앱 켜면 할인/이벤트 정보 쏟아짐! 쇼핑 필수 앱! 타임스퀘어 방문 전 앱으로 혜택을 확인하세요.
33	지니뮤직, 모바일에서 언제나 좋아하는 음악과 함께!	오늘 어떤 노래 들을까? 지니뮤직 앱 켜면 내 취향 플레이리스트 추천! 언제 어디서든 음악 감상. 지니뮤직과 함께 나만의 음악 세계를 즐겨봐요.
34	우주패스, 우주여행의 문을 여는 첫걸음!	꿈만 꾸던 우주 여행? 우주패스로 시작해봐! 상상 이상의 경험이 펼쳐져! 우주 여행에 대한 첫걸음을 떼어보세요.
35	애플 뮤직, 최고의 음악을 언제 어디서나!	아이폰/아이패드 유저 필수! 애플 뮤직으로 전 세계 음악 감상! 끊김 없는 고음질 사운드. 애플 기기에서 최상의 음악 경험을 하세요.
36	쉐보레 볼트 EV, 전기차의 미래를 경험하세요.	다음 차는 전기차? 쉐보레 볼트 EV로 시작해봐! 친환경 이동 수단, 미래를 경험하세요. 스마트하고 친환경적인 운전을 시작하세요.
37	넥스트레벨 VR, 가상현실의 새로운 차원을 경험하세요!	눈앞에 펼쳐지는 또 다른 세상! 넥스트레벨 VR로 현실을 넘어선 몰입감! 가상현실 세계에서 전에 없던 경험을 해보세요.
38	슬랙 앱으로 팀워크와 소통을 더욱 효율적으로!	회사/팀 프로젝트? 슬랙 앱 하나로 소통 끝! 업무 효율 높이는 필수 협업 툴! 팀원들과 빠르고 효율적으로 소통하세요.
39	에어비앤비, 모바일로 손쉽게 숙소 예약하고 할인 혜택 받기!	여행 갈 때 숙소 고민 끝! 에어비앤비 앱으로 전 세계 특별한 숙소 예약! 할인까지! 에어비앤비로 특별한 여행을 계획하세요.
40	스카이스캐너, 모바일로 저렴한 항공권 찾고 여행 계획하기!	갑자기 여행 가고 싶을 때? 스카이스캐너 앱 켜고 최저가 항공권 검색! 여행 계획 바로 시작! 스카이스캐너로 알뜰한 여행을 떠나보세요.
41	B마트에서 시켰는데 라면보다 먼저 도착한 라면	B마트로 장 봤는데 주문한 라면보다 라면 재료가 먼저 도착함! 믿기 힘든 속도.
42	현대카드 앱, 혜택 많아서 쓰다보면 나만 쓴다	현대카드 앱 혜택 써보면 나만 알고 싶은 비밀이 될 걸? 야무지게 할인 챙겨봐.
43	애플워치로 심박수 보면서 연애 시작하실 분?	애플워치로 심박수 체크하며 썸 타실 분? 심쿵 지수 실시간 확인!
44	올리브영 앱이 알려주는 "급한 피부" 해결템	올리브영 앱이 내 피부 상태 알려주고 딱 맞는 해결템 추천해줌! 급할 땐 올리브영 앱 켜!
45	서피스 하나로 넷플도 보고 엑셀도 돌리는 직장인 TMI	서피스 하나면 넷플릭스 보다가 바로 엑셀 켜서 일 가능! 직장인 필수템 TMI.
46	넷플릭스 이번 주 신작 보고 싶은 사람, 나야 나	넷플릭스 이번 주 신작 뭐 나왔는지 궁금해? 일단 나부터 보고 올게!
47	아이리버 전자책, 종이책 고이 접어둘 시간	아이리버 전자책 한 권이면 종이책 들고 다닐 필요 없어! 종이책은 잠시 고이 접어두자.
48	야놀자에서 숙소 예약했더니 분위기까지 예약됨	야놀자에서 숙소 예약했는데 분위기 맛집 인정! 여행 분위기까지 야놀자로 예약 완료.
49	무신사 스토어, 입자마자 DM 오는 마법의 셔츠	무신사 스토어에서 산 셔츠 입자마자 DM 폭발! 스타일 업그레이드 마법.
50	한컴오피스 모바일, 보고서도 침대에서 쓰는 시대	침대에서 보고서 쓰는 시대? 한컴오피스 모바일 앱 하나면 가능!
51	G마켓 앱 들어가면 월급이 잠시 사라질 예정	G마켓 앱 들어가면 지갑이 텅장될 각! 매일 새로운 특가에 눈 돌아감.
52	배라 앱 주문, 더위보다 줄 서는 게 싫은 당신에게	배라 앱으로 주문하면 줄 설 필요 없어! 더위보다 줄 서는 게 싫은 당신에게 추천.
53	아이폰 SE, 애플인데 가격 실화냐고 묻는 폰	아이폰 SE? 애플인데 가격이 실화냐고 다들 물어봄! 가성비 끝판왕 아이폰.
54	브리츠 스피커 틀었더니 캠핑장 분위기 ON	브리츠 스피커 켰더니 거실이 바로 캠핑장! 분위기 전환 제대로.
55	컬리 새벽배송, 진짜 배보다 장 보러 가는 게 더 힘들어	컬리 새벽배송 쓰면 진짜 배보다 장 보러 가는 게 더 힘들어. 문 앞에 딱!
56	쿠팡로켓와우, 이 가격이 진짜라고요?	쿠팡로켓와우 이 가격이 진짜라고요 고객님? 믿기 힘든 가격에 빠른 배송까지.
57	KB Pay로 결제했더니 돈 쓴 느낌이 덜하다	KB Pay로 결제하면 돈 쓴 느낌이 덜 들어요. 스마트한 소비 습관 만들기.
58	인스타그램 릴스로 춤추다 광고 찍은 썰 푼다	인스타그램 릴스 춤추다 브랜드 광고 모델 된 썰 푼다. 릴스 매력의 끝은 어디?
59	디즈니플러스 없으면 친구 대화에 끼기 힘들어요	디즈니플러스 없으면 친구들 대화에 못 낌! 최신 콘텐츠는 디즈니플러스에서.
60	카카오페이증권으로 스타벅스값 주식하는 사람 등장	카카오페이증권으로 스타벅스 몇 잔 값으로 주식 시작! 소액 투자도 간편하게.
61	홈플러스 앱에서 장 봤더니 엘리베이터 타자마자 도착	홈플러스 앱으로 장 봤더니 엘리베이터 타자마자 집 앞에 도착해있음! 초고속 배송.
62	LG 휘센 에어컨, 틀었더니 고양이가 에어컨 앞으로 감	LG 휘센 에어컨 틀었더니 고양이가 제일 먼저 에어컨 앞으로 달려감! 시원함 인정.
63	피그마 모바일로 손가락 하나로 로고 탄생시킴	피그마 모바일 앱 하나로 손가락만 움직였는데 로고 디자인 완성! 전문가처럼.
64	롯데ON 오늘 특가, 안 사면 손해 본 기분드는 물건	롯데ON 오늘 특가 안 사면 나만 손해 보는 기분! 할인율 대박 상품 놓치지 마세요.
65	마켓컬리, 과일도 이젠 과즙미 폭발	마켓컬리에서 시킨 과일, 과즙미 폭발! 진짜 싱싱함이 살아있네.
66	탑텐몰에서 티 샀는데 엄마가 ‘어디 브랜드냐’ 물어봄	탑텐몰에서 티 샀는데 엄마가 ‘어디 브랜드냐’ 물어봄! 탑텐 퀄리티 인정.
67	GS프레시몰, 고기 시켰더니 해동 안 해도 됨	GS프레시몰에서 고기 시켰는데 꽝꽝 얼어있지 않고 바로 해동! 신선함 그대로.
68	카카오헤어샵으로 예약했더니 미용실에서 환영받음	카카오헤어샵으로 예약하고 갔더니 미용실에서 특별히 환영받는 느낌! 예약 필수.
69	마이크로킥보드 타고 출근하면 누가 봐도 힙스터	마이크로킥보드 타고 출근하면 누가 봐도 트렌디한 힙스터! 출퇴근길도 힙하게.
70	삼성 더 프레임 TV, 티비가 아니라 액자란 소리 들음	삼성 더 프레임 TV, 집에 놓았더니 다들 티비 아니고 액자냐고 물어봐요! 예술 작품 같은 TV.
71	백화점몰 앱으로 시즌 세일 정보 빠르게 받기!	백화점 세일 놓치면 후회! 백화점몰 앱으로 시즌 핫딜 누구보다 빠르게 겟! 온라인에서 편하게 쇼핑하고 특별한 할인까지 챙겨봐요.
72	카카오톡으로 이모티콘 보내고 대화 더 재미있게!	카톡 대화가 심심해? 이모티콘 하나로 분위기 반전! 감정 표현은 카카오톡 이모티콘으로 더 풍부하게, 대화가 훨씬 재미있어져요.
73	아마존에서 해외 직구하고 할인 받자!	해외 직구 어렵지 않아! 아마존에서 원하는 거 싸게 사자! 지금 할인 놓치지 마세요. 전 세계 상품을 집에서 편하게 만나볼 수 있어요.
74	삼성 제트 청소기, 집안 청소가 이렇게 간편해지다!	청소? 이제 힘들이지 마세요. 삼성 제트 청소기로 먼지 싹! 집안일이 이렇게 간편해져요. 가볍고 강력한 흡입력으로 깨끗한 우리 집을 만들어 보세요.
75	LG 퓨리케어 공기청정기, 깨끗한 공기만 남겨두세요.	숨 쉬는 게 다르다! LG 퓨리케어 공기청정기로 우리 집 공기 케어! 맑고 깨끗한 공기만 남겨 건강한 생활을 유지하세요.
76	모두의마켓으로 편리한 쇼핑과 10% 할인 혜택 받기!	쇼핑은 모두의마켓! 필요한 거 편리하게 담고 10% 할인까지 챙겨봐! 다양한 상품을 합리적인 가격으로 만나고 추가 할인 혜택까지 누려보세요.
77	밀레니엄 힐튼 서울, 모바일 예약으로 할인 받기!	호캉스 갈 사람? 밀레니엄 힐튼 서울 모바일 예약하면 할인! 서울 중심에서 편안한 휴식을 즐겨봐요. 앱으로 간편하게 예약하고 특별 할인도 받아요.
78	구글 맵으로 더 빠르고 정확한 길찾기 시작!	길 헤맬 걱정 NO! 구글 맵 켜면 가장 빠른 길 안내! 어디든 정확하게 도착! 복잡한 길도 구글 맵 하나면 쉽게 찾아갈 수 있어요.
79	스카이프 앱으로 국제 전화, 무료로 연결하기!	해외 친구와 무료로 통화? 스카이프 앱으로 영상/음성 통화 부담 없이 연결! 멀리 있는 친구, 가족과 언제든지 생생하게 소통하세요.
80	하이마트, 모바일 앱에서만 제공되는 독점 할인!	가전 살 땐 하이마트 앱 필수! 앱에서만 만날 수 있는 독점 할인 놓치지 마세요! 필요한 가전제품을 더 저렴하게 구매할 기회예요.
81	편의점 CU, 모바일 앱으로 더 많은 혜택 받기!	CU 자주 가는 사람? CU 앱 켜면 할인/적립 혜택 와르르! 편의점도 스마트하게! 매일 이용하는 CU, 앱으로 더 알뜰하게 즐겨봐요.
82	브라운더스트, 전략적 전투의 재미에 빠지다!	생각 없이 누르지 마! 브라운더스트, 머리 쓰는 전략 RPG! 짜릿한 전투에 빠져봐. 전략적인 재미를 느끼고 싶다면 지금 바로 도전하세요.
83	푸르덴셜 생명보험, 모바일 앱으로 보험 가입 완료!	보험 가입 복잡하다고? 푸르덴셜 생명보험 앱으로 간편하게! 필요한 보장 스마트하게 준비! 복잡한 보험도 앱으로 쉽고 빠르게 해결해요.
84	CJ몰에서 쇼핑하고 쿠폰 혜택을 놓치지 마세요!	CJ몰 앱 켜면 쿠폰 폭탄! 필요한 거 살 땐 CJ몰에서 할인 싹쓸이! 다양한 카테고리 상품을 CJ몰에서 할인 받아 구매하세요.
85	인디고 앱, 최고의 항공권을 실시간으로 비교하고 예약하기!	항공권 최저가 찾기 힘들었지? 인디고 앱으로 실시간 비교! 가장 싼 비행기 표 겟! 여행 계획이 있다면 인디고 앱으로 저렴한 항공권을 찾아보세요.
86	티켓몬스터 앱으로 즉시 10% 할인 혜택 받기!	티몬에서 뭐 살까? 앱 깔고 즉시 10% 할인 쿠폰 받자! 지금 바로 쇼핑 시작! 필요한 상품을 티몬 앱에서 더 저렴하게 구매하세요.
87	페이스북 앱으로 친구들과 쉽게 소통하고 이벤트 참여하기!	페북 친구들 뭐하나 궁금해? 페이스북 앱으로 바로 소통하고 재밌는 이벤트도 참여해봐!
88	인스타그램에서 지금 핫한 트렌드 따라잡기!	지금 인스타에서 핫한 챌린지/템프 다 모여있음! 인싸 되는 법? 인스타그램 앱 하나면 충분!
89	갤럭시 Z 플립 5로 스타일리시하게 스마트한 생활 시작!	갤럭시 Z 플립 5 꺼내는 순간 시선 집중! 스타일리시함 폭발! 스마트폰 하나 바꿨을 뿐인데...
90	카카오T 앱으로 언제 어디서나 편리한 택시 호출!	카카오T 켜면 택시 바로 와? 비 오는 날, 늦은 밤 걱정 끝! 언제 어디서든 편리하게 이동!
91	삼성 갤럭시 S24, 최고의 성능을 경험하다!	삼성 갤럭시 S24, 써보면 왜 최고인지 알게 될 걸? 게임, 사진, 영상 뭐 하나 빠지는 게 없음!
92	카카오페이로 간편하게 결제하고 포인트까지 챙기기!	카카오페이로 결제하면 포인트가 쌓인대! 간편하게 찍고 할인까지 챙기기! 스마트한 소비!
93	인터파크에서 예매하면 영화 할인 혜택 50%!	인터파크에서 영화 예매? 반값 할인 개이득! 주말 영화 약속은 인터파크에서!
94	쿠팡에서 최신 전자기기 10% 추가 할인!	쿠팡에서 최신 전자기기 사면 10% 더 할인! 갖고 싶었던 거 있다면 지금이 기회!
95	지마켓에서 쇼핑하고 적립금까지! 1+1 혜택 제공!	지마켓 1+1 이벤트 실화? 쇼핑하고 적립금까지 쌓으니 이중 혜택! 필요한 거 오늘 다 사자!
96	네이버 지도, 최신 교통정보로 실시간 길찾기!	네이버 지도 켜면 실시간 교통 상황이 뙇! 막히는 길 피해서 빠르게 도착! 길치 필수 앱!
97	하나은행 앱으로 빠르고 편리한 금융 거래!	하나은행 앱 깔았더니 은행 갈 일이 없어졌네? 빠르고 편리하게 스마트폰으로 금융 거래 끝!
98	아이패드로 업무와 여가 모두 스마트하게!	아이패드 하나로 강의 필기, 그림 그리기, 영화 감상까지! 업무와 여가 모두 완벽 커버!
99	카카오맵으로 정확하고 빠른 길찾기, 내비게이션 앱 필수!	카카오맵 없으면 길 못 찾아! 정확도 최고 내비게이션 앱! 초행길 운전도 문제없어요!
100	스타벅스, 모바일 앱으로 주문하고 한정판 음료를 즐기세요.	스타벅스 앱으로 사이렌 오더! 줄 설 필요 없이 음료 바로 픽업! 한정판 음료도 앱에서 만나봐!
101	에어팟 프로 2세대, 음질과 편안함을 동시에!	에어팟 프로 2세대 끼는 순간 세상 조용! 음질은 콘서트장! 하루 종일 편안하게 음악 감상!
102	포스트핏 앱으로 운동 기록을 관리하고 건강 챙기기!	포스트핏 앱으로 오늘 운동 기록하고 내일은 더 열심히! 건강 관리 목표 달성 파트너!
103	엑스박스 시리즈 X, 차세대 게임을 이제 시작해보세요!	엑스박스 시리즈 X 켜는 순간 차세대 게임 시작! 압도적인 그래픽과 속도! 새로운 게임 경험!
104	플레이스테이션 5로 최고의 게임 환경을 만나세요.	플레이스테이션 5, 최고의 게임 환경에서 몰입감 최고! 현실보다 더 현실 같은 그래픽!
105	배민라이더스, 내 집 앞까지 더 빠르고 정확한 배달!	기다림은 이제 그만! 배민라이더스가 맛집 음식을 집 앞으로 빠르게 배달해줘! 따끈한 음식을 빠르게 받아서 편하게 즐겨보세요.
106	스마트폰 액세서리, 쿠팡에서 더 저렴하게 만나기!	핸드폰 케이스, 충전기 필요해? 쿠팡에서 최저가로 득템! 스마트폰 액세서리는 역시 쿠팡! 필요한 액세서리를 저렴하게 구매할 수 있어요.
107	카카오뮤직으로 언제 어디서나 즐기는 나만의 음악!	오늘 기분 어때? 카카오뮤직 플레이리스트 틀고 나만의 시간! 언제 어디서든 음악과 함께. 내 취향에 맞는 음악을 카카오뮤직에서 찾아보세요.
108	아이폰 15로 더 선명하고 빠른 모바일 경험!	아이폰 15 들고 세상 제일 선명한 사진 찍어봐! 빠릿빠릿한 속도는 덤! 모바일 경험 혁신!
109	티몬에서 10% 추가 할인, 앱 다운로드하고 쇼핑하자!	티몬 앱 깔았더니 추가 10% 할인 쿠폰이 뙇! 필요한 거 있다면 티몬에서 더 싸게 쇼핑하자!
110	쿠팡이츠, 바로 배달! 맛있는 음식이 집 앞으로.	쿠팡이츠 시켰는데 문 두드리는 소리? 바로 배달! 뜨끈한 음식이 집 앞으로 순삭 도착!
111	캐논 EOS 90D, 완벽한 사진을 찍을 준비가 됐다!	인생샷 남길 준비 됐어? 캐논 EOS 90D로 전문가처럼! 선명하고 아름다운 사진 완성! 추억을 고화질 사진으로 남겨보세요.
112	카카오톡으로 친구들에게 손쉽게 선물하기!	카톡으로 친구 생일 선물 보내기? 손쉽게 마음 전달! 센스 있는 선물이 바로 가능!
113	마이리얼트립으로 여행 계획 세우고 특별한 할인 받기!	마이리얼트립에서 특별한 여행 계획 세우고 할인까지! 남들과 다른 특별한 경험을 디자인하세요!
114	요기요로 주문하고 다양한 배달 할인 받자!	요기요 켰는데 할인 쿠폰이 좌르륵! 배달 음식 시킬 땐 요기요! 다양한 할인 혜택 챙겨봐!
115	미국 애플, 아이폰 15 출시! 스마트폰 혁명의 시작.	미국 애플, 아이폰 15 출시! 스마트폰의 미래가 여기 있다! 혁신적인 경험을 지금 바로!
116	삼성 스마트폰으로 고화질 사진 찍고 SNS에 공유하기!	삼성 스마트폰 카메라 무슨 일? 고화질 사진 찍고 인스타에 바로 올려봐! '좋아요' 폭발각!
117	네이버 블로그 앱으로 언제 어디서나 글 작성하기!	네이버 블로그 앱으로 생각날 때마다 글 쓰기! 언제 어디서든 나만의 이야기를 기록하세요!
118	틱톡으로 트렌디한 영상 만들고 팔로워 늘리기!	틱톡 켰는데 내가 만든 영상이 트렌드? 핫한 영상 만들고 팔로워 늘려봐! 크리에이터 도전! 댄스 챌린지도!
119	국민은행, KB스타뱅킹으로 금융 관리 손쉽게!	국민은행 앱 KB스타뱅킹, 복잡한 금융도 손쉽게 관리! 스마트폰 하나로 은행 업무 끝!
120	무신사에서 스타일을 업그레이드하고 30% 할인 받자!	무신사에서 옷 샀는데 거울 보니 내가 달라졌어? 스타일 업그레이드 필수! 지금 30% 할인 기회!
121	배달의민족, 맛있는 음식 20% 할인받고 집에서 즐기세요.	배민 20% 할인 쿠폰 뿌린대! 오늘 저녁 배달 음식으로 파티각? 집에서 편하게 맛집 즐겨봐!
122	카카오스토리에서 친구들과 함께 특별한 순간을 나누세요!	카카오스토리, 옛날 사진첩 꺼내본 기분! 친구들과 추억 공유하고 소소한 일상 나눠봐!
123	삼성 스마트 TV로 영화와 게임을 더 즐겁게!	삼성 스마트 TV, 영화 볼 때 극장 안 부럽다! 게임할 때 몰입감 최고! 집콕 필수템!
124	LG 올레드 TV, 진짜 같은 화질로 새로운 경험을!	LG 올레드 TV 화질 미쳤다! 진짜 눈으로 보는 것 같아! 새로운 차원의 시각 경험!
125	크롬북으로 더 빠르고 효율적인 업무 환경 만들기.	크롬북 하나면 학교/회사 업무도 가볍게 뚝딱! 빠르고 효율적인 환경에서 스마트하게 일해요!
126	구글 포토로 안전하게 사진 관리하고 공유하기!	구글 포토에 사진 무제한 백업! 용량 걱정 없이 추억 저장! 친구들이랑 공유도 간편!
127	네이버 클라우드, 안전한 데이터 보관의 첫걸음.	네이버 클라우드에 소중한 사진, 파일 싹 다 넣어놔! 잃어버릴 걱정 없이 안전하게 보관 완료!
128	SKT 5G로 더 빠르고 끊김 없는 모바일 인터넷 속도!	SKT 5G 속도 무슨 일? 영상 끊김? 버퍼링? 그런 게 뭔가요?
129	토스, 모바일로 빠르고 안전하게 송금하고 포인트 적립!	지갑 없어도 괜찮아! 토스로 간편 결제, 송금 끝! 포인트 적립은 덤! 토스 앱 하나로 금융 생활이 편리해져요.
130	배달의민족, 첫 주문 시 5,000원 할인 혜택! 지금 주문하고 즐기세요.	배민 첫 주문 아직이라면? 지금 바로 5,000원 할인 받고 맛집 탐방 시작! 배달의민족으로 맛있는 음식을 할인 받아 즐겨보세요.
131	카카오뱅크, 언제 어디서나 빠르고 간편한 금융 서비스!	카카오뱅크 켰는데 은행 안 가도 되네? 언제 어디서든 빠르고 간편하게 금융 생활 끝!
132	LG 퓨리케어, 공기 청정으로 더 깨끗한 생활 공간 만들기!	LG 퓨리케어 놓는 순간 우리 집 공기 질 확 달라짐! 깨끗한 공기로 건강한 생활 공간 만들어봐요.
133	하이마트, 최신 가전제품을 특별 가격에 만나보세요!	하이마트 최신 가전 나왔대! 지금 특별 가격에 만날 기회! 갖고 싶었던 가전제품 저렴하게 겟!
134	에어비앤비, 모바일로 숙소 예약하고 특별 할인 받기!	에어비앤비 앱으로 숙소 예약하면 할인 쿠폰 뙇! 여행 계획 있다면 앱 켜고 특별 할인 받자!
135	애플, 최신 아이패드로 더 스마트한 업무와 여가 즐기기!	애플 최신 아이패드 하나면 일도 놀이도 스마트하게! 어디서든 편리하게 작업하고 즐겨봐요.
136	배달의민족, 집에서 간편하게 맛있는 음식을 즐기세요!	오늘 저녁 뭐 먹지? 배달의민족 켜고 맛있는 음식 집에서 편하게 즐겨봐!
137	네이버 쇼핑, 오늘만 제공되는 한정 할인 혜택!	네이버 쇼핑 알림 떴다! 오늘만 한정 할인 실화? 놓치면 후회! 지금 바로 확인!
138	삼성 갤럭시, 혁신적인 카메라로 새로운 순간을 담다!	삼성 갤럭시 카메라 미쳤네! 혁신적인 카메라로 일상의 특별한 순간을 담아봐요.
139	스타벅스, 모바일 앱으로 빠르게 주문하고 커피를 즐기세요!	스타벅스 앱 켜고 미리 주문! 줄 설 필요 없이 바로 커피 픽업! 빠르게 커피를 즐겨봐요.
140	쿠팡, 24시간 한정 세일로 쇼핑의 재미를 느껴보세요!	쿠팡 24시간 한정 세일? 밤낮없이 쇼핑각! 필요한 거 있다면 쿠팡에서 득템 기회 잡자!
141	네이버 지도, 실시간 교통 정보로 더 똑똑한 길찾기!	네이버 지도 켜면 실시간 교통 상황 뙇! 막히는 길 피해 빠르게 도착! 길찾기 필수 앱!
142	아이폰 15, 스마트한 기능으로 더 편리한 생활을!	아이폰 15 들고 더 편리한 스마트 생활 시작! 스마트한 기능들이 당신의 일상을 더 윤택하게 만들어요.
143	삼성 스마트 TV, 더 넓은 화면으로 영화와 게임을 즐기세요!	삼성 스마트 TV 바꾸고 영화/게임 몰입도 최고! 더 넓은 화면으로 생생하게 즐겨봐요.
144	티몬, 시즌 한정 특별 할인으로 쇼핑하세요!	티몬 앱 켰더니 시즌 한정 특별 할인! 필요한 거 싸게 살 기회! 지금 바로 쇼핑하세요!
