apno	jno	apdate	uno	apok
295	118	2025-06-29	81	0
296	122	2025-06-29	58	0
297	23	2025-06-30	23	0
298	195	2025-06-30	27	0
299	216	2025-06-30	57	0
300	2	2025-06-30	69	1
301	26	2025-06-30	74	0
302	238	2025-07-01	14	0
303	22	2025-07-01	68	0
304	49	2025-07-01	78	0
305	77	2025-07-02	94	0
306	163	2025-07-02	65	0
307	252	2025-07-02	99	1
308	49	2025-07-02	63	1
309	66	2025-07-02	31	1
310	61	2025-07-02	1	0
311	171	2025-07-03	63	0
312	235	2025-07-03	82	0
313	259	2025-07-03	54	0
314	307	2025-07-03	15	0
315	314	2025-07-03	95	1
316	56	2025-07-03	60	0
317	63	2025-07-03	84	0
318	154	2025-07-03	89	0
319	47	2025-07-03	53	0
320	86	2025-07-04	5	0
321	213	2025-07-04	47	0
322	268	2025-07-04	38	0
323	288	2025-07-04	6	0
324	20	2025-07-04	40	0
325	159	2025-07-04	48	0
326	210	2025-07-05	22	1
327	215	2025-07-05	20	0
328	138	2025-07-05	96	0
329	150	2025-07-05	13	0
330	34	2025-07-05	32	0
331	97	2025-07-06	81	0
332	156	2025-07-06	77	0
333	158	2025-07-06	77	0
334	245	2025-07-06	100	0
335	247	2025-07-06	4	1
336	262	2025-07-06	82	1
337	81	2025-07-07	58	0
338	103	2025-07-07	42	0
339	184	2025-07-07	72	0
340	228	2025-07-07	65	0
341	284	2025-07-07	8	0
342	293	2025-07-07	88	0
343	1	2025-07-07	50	1
344	55	2025-07-07	21	0
345	46	2025-07-08	92	0
346	89	2025-07-08	50	0
347	33	2025-07-08	35	0
348	89	2025-07-08	44	0
349	157	2025-07-08	10	0
350	46	2025-07-09	74	0
351	121	2025-07-09	92	0
352	150	2025-07-09	11	0
353	240	2025-07-09	84	0
354	298	2025-07-09	59	1
355	207	2025-07-10	49	0
356	280	2025-07-10	19	0
357	93	2025-07-10	89	0
358	64	2025-07-10	12	0
359	161	2025-07-11	86	1
360	250	2025-07-11	50	0
361	142	2025-07-11	95	0
362	72	2025-07-12	55	0
363	263	2025-07-12	15	0
364	317	2025-07-12	32	0
365	85	2025-07-12	43	1
366	145	2025-07-13	32	1
367	61	2025-07-13	10	0
368	67	2025-07-13	56	0
369	212	2025-07-14	79	0
370	230	2025-07-14	94	0
371	290	2025-07-14	35	0
372	310	2025-07-14	67	0
373	66	2025-07-14	73	0
374	200	2025-07-15	86	1
375	7	2025-07-15	67	0
376	64	2025-07-15	96	0
377	68	2025-07-15	13	0
378	123	2025-07-16	81	0
379	305	2025-07-16	27	1
380	120	2025-07-16	66	0
381	217	2025-07-17	23	1
382	141	2025-07-17	28	1
383	149	2025-07-17	23	0
384	203	2025-07-18	54	1
385	271	2025-07-18	26	0
386	291	2025-07-18	28	1
387	66	2025-07-18	67	0
388	15	2025-07-18	9	0
389	73	2025-07-18	57	0
390	88	2025-07-18	42	0
391	199	2025-07-19	37	0
392	211	2025-07-19	52	1
393	236	2025-07-20	92	0
394	320	2025-07-21	39	0
395	50	2025-07-21	3	1
396	62	2025-07-21	69	0
397	255	2025-07-23	82	1
398	265	2025-07-23	36	0
399	124	2025-07-23	11	0
400	39	2025-07-23	61	0
401	155	2025-07-24	81	0
402	244	2025-07-24	9	0
403	296	2025-07-24	75	0
404	59	2025-07-25	12	1
405	225	2025-07-25	58	0
406	129	2025-07-25	68	0
407	161	2025-07-25	13	1
408	44	2025-07-25	62	0
409	60	2025-07-26	46	0
410	88	2025-07-26	68	0
411	272	2025-07-26	59	0
412	309	2025-07-26	8	0
413	155	2025-07-26	84	0
414	270	2025-07-28	91	0
415	162	2025-07-28	12	1
416	73	2025-07-28	60	0
417	222	2025-07-29	34	0
418	264	2025-07-29	86	0
419	1	2025-07-29	68	0
420	70	2025-07-30	87	0
421	126	2025-07-30	28	0
422	122	2025-07-30	83	0
423	41	2025-07-30	69	0
424	92	2025-07-31	10	0
425	9	2025-07-31	94	0
426	194	2025-07-31	47	0
427	72	2025-07-31	22	1
428	160	2025-08-02	27	0
429	249	2025-08-02	30	0
430	294	2025-08-02	31	1
431	319	2025-08-02	87	0
432	345	2025-08-02	92	0
433	7	2025-08-02	48	0
434	36	2025-08-02	44	0
435	129	2025-08-03	75	0
436	196	2025-08-03	28	0
437	342	2025-08-03	15	0
438	431	2025-08-03	85	1
439	438	2025-08-03	47	0
440	8	2025-08-03	25	0
441	346	2025-08-04	87	0
442	355	2025-08-04	71	0
443	400	2025-08-04	82	0
444	422	2025-08-04	78	0
445	75	2025-08-04	97	0
446	67	2025-08-05	16	0
447	278	2025-08-05	89	0
448	327	2025-08-05	10	0
449	337	2025-08-05	36	0
450	361	2025-08-05	55	0
451	395	2025-08-05	29	0
452	407	2025-08-05	28	0
453	402	2025-08-05	74	0
454	145	2025-08-05	34	0
455	261	2025-08-06	79	1
456	360	2025-08-06	85	0
457	43	2025-08-07	57	0
458	221	2025-08-07	78	1
459	231	2025-08-07	64	0
460	274	2025-08-07	32	0
461	358	2025-08-07	85	0
462	370	2025-08-07	49	0
463	126	2025-08-07	16	0
464	43	2025-08-07	72	0
465	292	2025-08-08	25	0
466	389	2025-08-08	60	1
467	405	2025-08-08	35	0
468	408	2025-08-08	57	0
469	143	2025-08-08	32	0
470	71	2025-08-08	93	0
471	229	2025-08-09	32	0
472	322	2025-08-09	21	0
473	330	2025-08-09	37	0
474	369	2025-08-09	40	0
475	380	2025-08-09	47	0
476	385	2025-08-09	32	0
477	402	2025-08-09	37	0
478	338	2025-08-10	18	0
479	377	2025-08-10	26	0
480	148	2025-08-10	7	0
481	35	2025-08-10	67	0
482	234	2025-08-11	73	0
483	279	2025-08-11	94	1
484	326	2025-08-11	90	0
485	371	2025-08-11	91	0
486	398	2025-08-11	6	1
487	406	2025-08-11	94	0
488	170	2025-08-11	60	0
489	169	2025-08-12	46	0
490	300	2025-08-12	6	0
491	303	2025-08-12	38	0
492	347	2025-08-12	26	0
493	277	2025-08-13	51	0
494	344	2025-08-13	86	1
495	382	2025-08-13	93	0
496	323	2025-08-14	15	0
497	333	2025-08-14	24	0
498	396	2025-08-14	17	0
499	312	2025-08-15	95	0
500	373	2025-08-15	80	0
501	172	2025-08-16	51	0
502	331	2025-08-16	70	0
503	367	2025-08-16	60	0
504	48	2025-08-16	25	0
505	50	2025-08-17	94	0
506	349	2025-08-17	97	0
507	350	2025-08-17	40	0
508	10	2025-08-18	3	0
509	174	2025-08-18	79	0
510	241	2025-08-18	85	0
511	324	2025-08-18	8	1
512	379	2025-08-18	70	0
513	401	2025-08-19	45	0
514	151	2025-08-19	55	1
515	69	2025-08-19	25	0
516	102	2025-08-20	85	0
517	275	2025-08-20	55	0
518	325	2025-08-20	13	0
519	404	2025-08-20	33	0
520	125	2025-08-20	16	0
521	146	2025-08-20	3	0
522	183	2025-08-21	73	1
523	375	2025-08-21	97	0
524	376	2025-08-21	48	0
525	403	2025-08-21	58	0
526	415	2025-08-21	73	0
527	136	2025-08-21	37	0
528	77	2025-08-21	55	1
529	83	2025-08-22	60	0
530	233	2025-08-22	80	0
531	328	2025-08-22	49	1
532	343	2025-08-22	86	0
533	365	2025-08-22	58	0
534	390	2025-08-22	52	0
535	1	2025-08-22	84	0
536	57	2025-08-22	48	0
537	79	2025-08-22	2	0
538	283	2025-08-23	4	0
539	297	2025-08-23	5	1
540	356	2025-08-23	94	0
541	158	2025-08-23	59	0
542	237	2025-08-24	90	0
543	354	2025-08-24	91	0
544	378	2025-08-24	4	0
545	387	2025-08-24	57	0
546	123	2025-08-24	71	0
547	58	2025-08-25	31	0
548	154	2025-08-25	23	0
549	243	2025-08-25	89	0
550	372	2025-08-25	34	0
551	388	2025-08-25	76	0
552	135	2025-08-25	51	0
553	136	2025-08-26	67	0
554	269	2025-08-26	84	0
555	226	2025-08-27	48	0
556	257	2025-08-27	9	1
557	281	2025-08-27	31	0
558	313	2025-08-27	62	0
559	339	2025-08-27	36	1
560	31	2025-08-27	15	0
561	273	2025-08-28	42	0
562	147	2025-08-28	77	0
563	30	2025-08-28	66	0
564	185	2025-08-29	5	0
565	227	2025-08-29	23	0
566	366	2025-08-29	37	0
567	381	2025-08-29	74	1
568	127	2025-08-29	76	0
569	289	2025-08-30	57	0
570	364	2025-08-30	85	0
571	416	2025-08-30	7	0
572	128	2025-08-30	57	0
573	169	2025-08-30	65	1
574	40	2025-08-31	64	0
575	157	2025-08-31	24	0
576	239	2025-08-31	28	1
577	246	2025-08-31	14	0
578	276	2025-08-31	89	0
579	302	2025-08-31	82	0
580	139	2025-08-31	73	0
581	153	2025-08-31	62	0
582	33	2025-08-31	64	1
583	56	2025-08-31	84	0
584	266	2025-09-01	23	0
585	335	2025-09-01	84	0
586	357	2025-09-01	71	0
587	152	2025-09-01	94	0
588	2	2025-09-01	9	0
589	42	2025-09-01	11	0
590	1	2025-09-02	34	0
591	151	2025-09-02	31	0
592	301	2025-09-02	43	0
593	410	2025-09-02	61	0
594	133	2025-09-02	98	0
595	40	2025-09-02	51	0
596	6	2025-09-03	19	0
597	186	2025-09-03	2	0
598	253	2025-09-03	51	0
599	260	2025-09-03	1	0
600	48	2025-09-04	55	0
601	311	2025-09-04	32	0
602	316	2025-09-04	32	0
603	359	2025-09-04	1	0
604	392	2025-09-04	13	0
605	156	2025-09-04	2	0
606	54	2025-09-04	25	0
607	70	2025-09-04	44	0
608	286	2025-09-05	75	0
609	304	2025-09-05	81	0
610	306	2025-09-05	11	0
611	329	2025-09-05	26	0
612	393	2025-09-05	19	1
613	446	2025-09-05	74	0
614	162	2025-09-06	1	0
615	242	2025-09-06	35	0
616	251	2025-09-06	32	0
617	308	2025-09-06	78	0
618	341	2025-09-06	93	0
619	352	2025-09-06	47	0
620	394	2025-09-06	25	0
621	78	2025-09-06	83	0
622	336	2025-09-07	7	0
623	106	2025-09-08	98	0
624	152	2025-09-08	96	0
625	374	2025-09-08	75	0
626	62	2025-09-09	41	0
627	128	2025-09-09	4	0
628	147	2025-09-09	70	0
629	232	2025-09-09	16	0
630	386	2025-09-09	34	0
631	32	2025-09-09	2	0
632	340	2025-09-10	99	0
633	363	2025-09-10	90	0
634	131	2025-09-10	83	0
635	144	2025-09-10	4	0
636	51	2025-09-10	28	0
637	67	2025-09-10	87	0
638	80	2025-09-11	42	0
639	90	2025-09-11	98	0
640	332	2025-09-11	53	0
641	426	2025-09-11	72	0
642	121	2025-09-11	44	0
643	130	2025-09-11	85	0
644	76	2025-09-11	63	0
645	57	2025-09-12	49	0
646	397	2025-09-12	90	0
647	160	2025-09-12	52	0
648	59	2025-09-12	40	0
649	31	2025-09-13	72	0
650	76	2025-09-13	4	0
651	315	2025-09-13	61	0
652	368	2025-09-13	73	0
653	399	2025-09-13	52	0
654	436	2025-09-13	52	0
655	46	2025-09-13	30	0
656	58	2025-09-13	98	0
657	5	2025-09-14	48	0
658	282	2025-09-14	50	0
659	287	2025-09-14	34	0
660	391	2025-09-14	29	0
661	132	2025-09-14	61	0
662	163	2025-09-14	89	0
663	159	2025-09-15	93	0
664	248	2025-09-15	14	0
665	351	2025-09-15	31	0
666	409	2025-09-15	18	0
667	134	2025-09-15	100	0
668	137	2025-09-15	45	0
669	37	2025-09-15	31	0
670	54	2025-09-16	58	0
671	7	2025-09-16	68	0
672	223	2025-09-16	4	0
673	254	2025-09-16	35	0
674	256	2025-09-16	3	0
675	295	2025-09-16	38	0
676	299	2025-09-16	16	0
677	318	2025-09-16	10	0
678	74	2025-09-16	23	0
679	267	2025-09-17	61	0
680	353	2025-09-17	43	0
681	383	2025-09-17	57	0
682	10	2025-09-17	4	0
683	96	2025-09-18	50	0
684	258	2025-09-18	76	0
685	285	2025-09-18	75	0
686	321	2025-09-18	28	0
687	348	2025-09-18	26	0
688	362	2025-09-18	62	0
689	384	2025-09-18	59	0
690	140	2025-09-18	1	0
691	6	2025-09-18	25	0
692	53	2025-09-18	83	0
693	22	2025-09-19	27	0
694	146	2025-09-19	40	0
695	224	2025-09-19	71	0
696	334	2025-09-19	53	0
697	418	2025-09-19	62	0
698	9	2025-09-19	3	0
699	45	2025-09-19	77	0
700	52	2025-09-19	91	0
