ono	uno	pno	quantity	date	pay	delivery
155	25	24	4	2025-09-09	1	3
156	26	40	6	2025-09-09	1	3
157	30	42	1	2025-09-10	1	3
158	22	16	8	2025-09-10	1	3
159	27	138	7	2025-09-10	1	3
160	4	4	6	2025-09-10	1	3
161	23	23	1	2025-09-10	1	3
162	6	4	6	2025-09-10	1	3
163	29	165	6	2025-09-10	1	3
164	24	183	8	2025-09-10	1	3
165	13	184	5	2025-09-10	1	3
166	4	115	2	2025-09-10	1	3
167	26	42	2	2025-09-10	1	3
168	21	66	9	2025-09-10	1	3
169	23	10	7	2025-09-10	1	3
170	26	54	5	2025-09-10	1	3
171	16	60	7	2025-09-10	1	3
172	8	33	6	2025-09-10	1	3
173	11	71	2	2025-09-10	1	3
174	28	56	1	2025-09-10	1	3
175	3	96	8	2025-09-10	1	3
176	30	102	8	2025-09-10	1	3
177	14	198	8	2025-09-10	1	3
178	29	126	5	2025-09-10	1	3
179	8	106	8	2025-09-10	1	3
180	18	123	5	2025-09-11	1	3
181	21	23	3	2025-09-11	1	3
182	25	16	3	2025-09-11	1	3
183	1	28	6	2025-09-11	1	3
184	7	14	8	2025-09-11	1	3
185	27	166	1	2025-09-11	1	3
186	8	93	4	2025-09-11	1	3
187	11	166	8	2025-09-11	1	3
188	4	128	2	2025-09-11	1	3
189	3	75	5	2025-09-11	1	3
190	7	88	1	2025-09-11	1	3
191	15	197	9	2025-09-11	1	3
192	25	113	1	2025-09-11	1	3
193	3	77	8	2025-09-11	1	3
194	18	87	6	2025-09-11	1	3
195	25	51	9	2025-09-11	1	3
196	10	56	4	2025-09-11	1	3
197	3	74	7	2025-09-11	1	3
198	17	6	6	2025-09-11	1	3
199	7	181	6	2025-09-11	1	3
200	3	142	4	2025-09-12	1	3
201	25	80	5	2025-09-12	1	3
202	28	196	4	2025-09-12	1	3
203	26	42	4	2025-09-12	1	3
204	14	154	9	2025-09-12	1	3
205	25	95	1	2025-09-12	1	3
206	19	30	3	2025-09-12	1	3
207	23	188	6	2025-09-12	1	3
208	12	13	5	2025-09-12	1	3
209	26	119	6	2025-09-12	1	3
210	11	172	9	2025-09-12	1	3
211	14	166	8	2025-09-12	1	3
212	3	173	7	2025-09-12	1	3
213	27	143	6	2025-09-12	1	3
214	29	103	6	2025-09-12	1	3
215	30	47	1	2025-09-12	1	3
216	20	139	8	2025-09-13	1	3
217	29	116	2	2025-09-13	1	3
218	25	133	4	2025-09-13	1	3
219	11	142	5	2025-09-13	1	3
220	16	138	2	2025-09-13	1	3
221	15	111	6	2025-09-13	1	3
222	30	144	1	2025-09-13	1	3
223	24	54	9	2025-09-13	1	3
224	17	53	6	2025-09-13	1	3
225	11	94	6	2025-09-13	1	3
226	13	180	4	2025-09-13	1	3
227	1	166	7	2025-09-13	1	3
228	26	102	9	2025-09-13	1	3
229	5	11	8	2025-09-13	1	3
230	1	146	2	2025-09-13	1	3
231	13	142	1	2025-09-13	1	3
232	10	151	5	2025-09-13	1	3
233	21	76	9	2025-09-13	1	3
234	16	75	4	2025-09-13	1	3
235	23	78	6	2025-09-13	1	3
236	7	188	8	2025-09-14	1	3
237	8	107	5	2025-09-14	1	3
238	1	65	3	2025-09-14	1	3
239	29	63	8	2025-09-14	1	3
240	15	25	5	2025-09-14	1	3
241	4	185	1	2025-09-14	1	3
242	21	167	4	2025-09-14	1	3
243	23	50	4	2025-09-14	1	3
244	25	87	1	2025-09-14	1	3
245	6	166	1	2025-09-14	1	3
246	19	172	4	2025-09-14	1	3
247	18	163	5	2025-09-14	1	3
248	29	103	8	2025-09-14	1	3
249	29	89	7	2025-09-14	1	3
250	29	194	8	2025-09-14	1	3
251	9	176	6	2025-09-14	1	3
252	18	13	1	2025-09-14	1	3
253	26	80	4	2025-09-14	1	3
254	4	171	1	2025-09-14	1	3
255	1	93	3	2025-09-14	1	3
256	12	46	9	2025-09-15	1	3
257	11	101	7	2025-09-15	1	3
258	8	115	3	2025-09-15	1	3
259	3	151	5	2025-09-15	1	3
260	21	162	9	2025-09-15	1	3
261	8	23	9	2025-09-15	1	3
262	16	135	6	2025-09-15	1	3
263	23	125	8	2025-09-15	1	3
264	17	199	6	2025-09-15	1	3
265	28	183	9	2025-09-15	1	3
266	28	35	4	2025-09-15	1	3
267	28	163	8	2025-09-15	1	3
268	18	71	1	2025-09-15	1	3
269	10	106	9	2025-09-15	1	3
270	3	28	4	2025-09-15	1	3
271	9	110	8	2025-09-15	1	3
272	7	160	3	2025-09-16	1	3
273	9	170	2	2025-09-16	1	3
274	16	120	7	2025-09-16	1	3
275	18	167	4	2025-09-16	1	3
276	30	34	6	2025-09-16	1	3
277	4	85	4	2025-09-16	1	3
278	18	135	5	2025-09-16	1	3
279	5	183	6	2025-09-16	1	3
280	20	85	8	2025-09-17	1	3
281	18	175	6	2025-09-17	1	3
282	4	33	5	2025-09-17	1	3
283	21	40	1	2025-09-17	1	3
284	21	99	4	2025-09-17	1	3
285	22	164	4	2025-09-17	1	3
286	28	199	2	2025-09-17	1	3
287	5	14	1	2025-09-17	1	3
288	9	71	7	2025-09-17	1	3
289	8	131	3	2025-09-17	1	3
290	13	168	8	2025-09-17	1	3
291	10	111	2	2025-09-17	1	3
292	22	74	2	2025-09-17	1	3
293	19	35	4	2025-09-17	1	3
294	3	49	2	2025-09-17	1	3
295	16	121	8	2025-09-17	1	3
296	4	191	8	2025-09-17	1	3
297	24	56	2	2025-09-17	1	3
298	29	128	8	2025-09-17	1	3
299	17	35	9	2025-09-17	1	3
300	26	200	7	2025-09-17	1	3
301	3	193	2	2025-09-17	1	3
302	7	158	8	2025-09-18	1	3
303	24	165	6	2025-09-18	1	3
304	8	168	2	2025-09-18	1	3
305	14	22	2	2025-09-18	1	3
306	4	118	9	2025-09-18	1	3
307	18	30	1	2025-09-18	1	3
308	29	59	3	2025-09-18	1	3
309	6	89	8	2025-09-18	1	3
310	9	62	5	2025-09-18	1	3
311	21	61	7	2025-09-18	1	3
312	17	6	6	2025-09-18	1	3
313	13	147	4	2025-09-18	1	3
314	25	153	3	2025-09-18	1	3
315	17	22	5	2025-09-18	1	3
316	20	128	7	2025-09-18	1	3
317	24	135	3	2025-09-18	1	3
318	3	3	6	2025-09-18	1	3
319	26	65	9	2025-09-18	1	3
320	18	68	9	2025-09-18	1	3
321	19	68	1	2025-09-18	1	3
322	7	25	6	2025-09-18	1	3
323	8	197	9	2025-09-18	1	3
324	29	127	3	2025-09-19	1	3
325	18	120	7	2025-09-19	1	3
326	24	29	2	2025-09-19	1	3
327	17	163	6	2025-09-19	1	3
328	19	157	6	2025-09-19	1	3
329	9	128	2	2025-09-19	1	3
330	28	130	9	2025-09-19	1	3
331	1	200	7	2025-09-19	1	3
332	8	81	3	2025-09-19	1	3
333	21	4	6	2025-09-19	1	3
334	4	86	8	2025-09-19	1	3
335	1	196	7	2025-09-19	1	3
336	12	110	4	2025-09-19	1	3
337	7	130	3	2025-09-19	1	3
338	5	47	7	2025-09-19	1	3
339	20	70	5	2025-09-19	1	3
340	20	149	3	2025-09-19	1	3
341	29	34	9	2025-09-20	0	0
342	14	94	5	2025-09-20	0	0
343	11	177	6	2025-09-20	0	0
344	5	183	7	2025-09-20	0	0
345	17	49	4	2025-09-20	1	3
346	22	108	7	2025-09-20	1	3
347	12	170	1	2025-09-20	1	3
348	11	151	9	2025-09-20	1	3
349	6	182	2	2025-09-20	1	3
350	6	149	7	2025-09-20	1	3
351	18	91	7	2025-09-20	1	3
352	17	83	2	2025-09-20	1	3
353	9	63	7	2025-09-20	1	3
354	14	183	3	2025-09-20	1	3
355	18	51	3	2025-09-20	1	3
356	1	56	5	2025-09-20	1	3
357	4	92	6	2025-09-20	1	3
358	21	154	4	2025-09-20	1	3
359	4	81	4	2025-09-20	1	3
360	28	72	9	2025-09-20	1	3
361	8	60	3	2025-09-20	1	2
362	27	171	7	2025-09-20	1	0
363	1	83	6	2025-09-20	1	2
364	13	137	5	2025-09-20	1	1
365	4	118	4	2025-09-20	1	2
366	22	192	5	2025-09-21	0	0
367	30	180	9	2025-09-21	0	0
368	8	124	6	2025-09-21	0	0
369	3	54	1	2025-09-21	0	0
370	14	168	4	2025-09-21	0	0
371	18	76	9	2025-09-21	0	0
372	23	73	3	2025-09-21	0	0
373	27	29	6	2025-09-21	0	0
374	18	53	1	2025-09-21	0	0
375	8	170	9	2025-09-21	0	0
376	22	98	2	2025-09-21	1	3
377	13	99	5	2025-09-21	1	0
378	3	113	5	2025-09-21	1	2
379	16	10	5	2025-09-21	1	0
380	19	83	9	2025-09-21	1	1
381	10	23	8	2025-09-21	1	1
382	13	191	9	2025-09-22	0	0
383	6	14	9	2025-09-22	0	0
384	15	68	6	2025-09-22	0	0
385	24	27	8	2025-09-22	0	0
386	5	81	7	2025-09-22	0	0
387	4	83	4	2025-09-22	0	0
388	27	93	2	2025-09-22	0	0
389	22	105	1	2025-09-22	0	0
390	7	5	5	2025-09-22	0	0
391	29	66	5	2025-09-22	0	0
392	15	103	3	2025-09-22	0	0
393	6	59	1	2025-09-22	0	0
394	27	115	9	2025-09-22	0	0
395	14	106	5	2025-09-22	0	0
396	30	55	7	2025-09-22	1	1
397	17	37	1	2025-09-22	1	2
398	5	93	3	2025-09-22	1	3
399	6	91	9	2025-09-22	1	1
400	6	89	7	2025-09-22	1	2
